method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
GET	/admin/plans/bound-tenant-counts	listPlanBoundTenantCounts	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/plans/{plan_id}/bindable-tenants	listPlanBindableTenants	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/plans/{plan_id}/bound-tenants	listPlanBoundTenants	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/platform-users	listPlatformUsers	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/admin/platform-users	createPlatformUser	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/platform-users/{userId}	getPlatformUser	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/admin/platform-users/{userId}	deletePlatformUser	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/admin/platform-users/{userId}/disable	disablePlatformUser	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/admin/platform-users/{userId}/enable	enablePlatformUser	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/admin/platform-users/{userId}/reset-password	resetPlatformUserPassword	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/admin/platform-users/{userId}/role	updatePlatformUserRole	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/quota-meta	listQuotaMeta	explicit	generated	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	v1	quota	read	platform	["user"]
GET	/admin/tenant-admins/available-tenants	listAvailableTenants	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/tenant-users	listTenantUsers	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/tenants/{tenant_id}	getTenant	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/admin/tenants/{tenant_id}/plan	updateTenantPlan	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/admin/tenants/{tenant_id}/quota	getTenantQuota	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/admin/tenants/{tenant_id}/quota	createTenantQuota	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/admin/tenants/{tenant_id}/quota	updateTenantQuota	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
