contract	method	path	gateway_path	operation_id	security	tags
core-v1	GET	/admin/platform-users	/api/v1/admin/platform-users	listPlatformUsers	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	POST	/admin/platform-users	/api/v1/admin/platform-users	createPlatformUser	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	GET	/admin/platform-users/{userId}	/api/v1/admin/platform-users/{userId}	getPlatformUser	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	DELETE	/admin/platform-users/{userId}	/api/v1/admin/platform-users/{userId}	deletePlatformUser	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	POST	/admin/platform-users/{userId}/disable	/api/v1/admin/platform-users/{userId}/disable	disablePlatformUser	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	POST	/admin/platform-users/{userId}/enable	/api/v1/admin/platform-users/{userId}/enable	enablePlatformUser	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	POST	/admin/platform-users/{userId}/reset-password	/api/v1/admin/platform-users/{userId}/reset-password	resetPlatformUserPassword	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	PUT	/admin/platform-users/{userId}/role	/api/v1/admin/platform-users/{userId}/role	updatePlatformUserRole	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["PlatformUsers"]
core-v1	GET	/admin/tenant-admins/available-tenants	/api/v1/admin/tenant-admins/available-tenants	listAvailableTenants	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["TenantUsers"]
core-v1	GET	/admin/tenant-users	/api/v1/admin/tenant-users	listTenantUsers	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["TenantUsers"]
core-v1	GET	/admin/tenants/{tenant_id}/roles	/api/v1/admin/tenants/{tenant_id}/roles	listAssignableTenantRoles	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	["TenantUsers"]
